,importance,stddev,p_value,n,p99_high,p99_low
crossing_rate,0.8966654240957649,0.216191372204138,0.0003759058842526543,5,1.341806447546395,0.45152440064513477
max_slope,0.8878802027014829,0.1158012008115286,3.3949202420052965e-05,5,1.1263164757151065,0.6494439296878592
std_all,0.5026476230751862,0.03227985957034081,2.0298731145790575e-06,5,0.5691123000855904,0.4361829460647819
ringing_energy,0.17501409807030108,0.017499095110503227,1.183544207717947e-05,5,0.21104497676602466,0.1389832193745775
overshoot_intensity,0.16129159673038865,0.018379891445348323,1.9889496441421817e-05,5,0.19913604725345735,0.12344714620731993
noise_floor,0.14295516874747344,0.029353775202447863,0.00020184084937425046,5,0.2033949976016023,0.08251533989334459
tail_slope,0.10937364173434672,0.028979629794358044,0.0005398898624449573,5,0.16904310002197953,0.049704183446713894
x_end,0.10720764080703722,0.01927790133868133,0.00012023249362734878,5,0.14690110611229434,0.0675141755017801
max_dev_tail_50,0.09710213213448646,0.010351381951620418,1.5265374535515317e-05,5,0.11841577064417577,0.07578849362479714
