wave_id,wait_time_ms,x_end,std_all,std_tail_50,max_diff_tail_50,settling_trend,stability_ratio,ringing_energy,max_slope,peak_rel,pred_wait_time_ms,error_ms,abs_error_ms
1.0,3.26,3.051400280832269,0.3970928881633145,0.0025647088387739,0.0121461370330471,0.9456140009903596,0.0064587125802676,6.887977227652218,0.1021912574167926,0.035497413700567,3.1875627,-0.07243729591369608,0.07243729591369608
2.0,5.48,1.0540639083117511,0.1476915660923141,0.002509832177526,0.0139864907563818,1.035693992414857,0.0169937405834232,7.290153574196626,0.063971232339019,0.075662364980058,5.5645914,0.08459140777587848,0.08459140777587848
3.0,5.2700000000000005,1.8012091491623776,0.2977183709769537,0.0024803790566157,0.0129305397335133,0.9705435812569944,0.0083312932290512,7.284989511985778,0.0555919963617363,0.0156196426677399,5.2213154,-0.04868461608886765,0.04868461608886765
4.0,3.49,1.329861871263366,0.1620458755532973,0.0017655298330252,0.0085153551578758,1.1345310300008755,0.0108952468929044,5.982202942295624,0.0491814736448094,0.0308188515893224,3.658617,0.1686170196533201,0.1686170196533201
5.0,5.17,1.2251790171585666,0.1646228085513946,0.0025080013893861,0.0107345228932067,0.9546889657759532,0.0152348352954283,7.667161144916101,0.0612641370189777,0.0607959286979236,5.4764743,0.3064742851257325,0.3064742851257325
6.0,6.98,1.465410598769967,0.2453775051145261,0.0022353902153043,0.0089720796689434,1.073405103056177,0.0091100046239,9.117079079308123,0.0667789315948773,0.0797806707871098,6.960092,-0.019907932281494567,0.019907932281494567
7.0,4.48,2.9379207276328745,0.4357224223527473,0.0021221406766893,0.0084432445126374,1.0235847817626609,0.0048703958367809,7.510412480632415,0.0838615864709184,0.0159492565579144,4.28741,-0.19259021759033246,0.19259021759033246
8.0,3.6,2.77755170413031,0.4024120327246743,0.0020662024081399,0.0090709998559437,1.043095830403213,0.0051345442854068,7.22469111011028,0.0934474829255565,0.0203918790189367,3.7068367,0.10683670043945304,0.10683670043945304
9.0,4.88,2.5823837221926498,0.3972852317276418,0.0026119958524836,0.0103360044757798,0.9901918607017428,0.0065746109779879,8.035210721716748,0.0655521067603568,0.015129330180764,5.22289,0.34288990020751964,0.34288990020751964
10.0,6.99,1.3596804468416113,0.2273377932379888,0.0024787498056025,0.0120927130978787,1.0233975665694,0.0109033775660184,9.241642638984882,0.0595423518521368,0.0632979885304103,7.072131,0.0821311569213865,0.0821311569213865
11.0,3.73,2.041893196581448,0.2830379846078061,0.002519840513835,0.0114286778174172,1.0219353101188644,0.0089028351032947,6.913208077252198,0.0713969225421397,0.0226986291430799,4.0427294,0.31272937774658205,0.31272937774658205
12.0,3.99,1.9976194213468208,0.2601244612268276,0.0024020843442011,0.0114522127535177,1.013634355207167,0.0092343654404425,6.547644418528847,0.0814124577439243,0.0320750890515535,3.9328256,-0.05717443466186545,0.05717443466186545
13.0,3.99,1.2440739184881258,0.1661369923346151,0.0023009875259599,0.0107453341076029,1.125523066008112,0.0138499408215818,6.086322945951452,0.0530009828584772,0.0313505008121022,4.075839,0.085839042663574,0.085839042663574
14.0,4.89,2.551077451457886,0.3789480075008654,0.0022407268572958,0.0103289678685309,1.0632246554567395,0.0059130192190752,8.006289644336626,0.0811238203902263,0.0427004183482164,4.920197,0.030197010040283523,0.030197010040283523
15.0,5.47,2.302677574630556,0.3471180350099629,0.0022623170246664,0.0087879548794793,1.0430518884239943,0.006517428626502,8.009161767210013,0.0666297243631787,0.0314601151201237,5.3770022,-0.09299776077270483,0.09299776077270483
16.0,6.48,1.3217321036934773,0.2104546873069969,0.0029494958683397,0.0136542343406715,0.8767396694732433,0.0140148736626728,8.589614847576282,0.0606132150923305,0.0847076158572588,6.599292,0.11929180145263629,0.11929180145263629
17.0,5.16,2.55305876202092,0.4106460749829421,0.0024231421032879,0.0121108652298151,1.0369217285354728,0.0059008042326662,8.227801025454852,0.0678752696916092,0.0265544656885454,5.3640847,0.20408472061157212,0.20408472061157212
18.0,6.25,2.8740481226923054,0.5199058061401145,0.0023780537997411,0.0107563232521528,1.0372034560158814,0.0045740089206201,9.07077723217532,0.0721119759196881,0.022239117320483,6.322458,0.07245779037475586,0.07245779037475586
19.0,4.47,2.065156146868756,0.3108195953406659,0.0022411385410178,0.0091081177383745,1.0644657865842453,0.0072104158405813,6.947600977239089,0.0619985394834818,0.0215606324935668,4.4016986,-0.06830141067504858,0.06830141067504858
20.0,5.49,1.371013583348874,0.1940177243471804,0.0024860997841132,0.0131863382046628,1.1079835427301137,0.0128137765746124,7.618942066559215,0.0672616062812394,0.0731105105245009,5.710021,0.22002101898193338,0.22002101898193338
21.0,5.17,1.214439849680877,0.1729663006870229,0.0021601186057986,0.0101281064715765,1.0512286687535355,0.0124886673573405,7.548121740634832,0.058608661403037,0.0443400001141145,5.2940025,0.12400253295898445,0.12400253295898445
22.0,3.49,0.8782872853635731,0.0919982753978269,0.002864722423911,0.0134083298442695,0.9674431162751564,0.0311388705971311,5.73615315832111,0.0593116359370052,0.0555532436038362,3.4278421,-0.06215785980224631,0.06215785980224631
23.0,4.47,1.9239406867185624,0.2845486549060375,0.0026237508188955,0.0142429989948242,0.9694172903374466,0.009220745782619,6.85720937951623,0.0517060719874814,0.0220224434069631,4.457449,-0.012551040649413814,0.012551040649413814
24.0,4.48,0.8100854721821702,0.0977773660529026,0.0022905760243478,0.0106595193097063,0.983756288794408,0.0234264441085689,6.444088962016656,0.0546418719385249,0.0486429296771081,4.389572,-0.09042785644531293,0.09042785644531293
