,importance,stddev,p_value,n,p99_high,p99_low
crossing_rate,1.0855375840266048,0.23205987635842848,0.0002360435514146401,5,1.5633520768569544,0.6077230911962552
max_slope,0.9795007013468442,0.11967888919510204,2.6220251483660515e-05,5,1.2259211883375947,0.7330802143560937
std_all,0.39289182578355064,0.024047093501580998,1.6756122884742925e-06,5,0.44240512366945894,0.34337852789764234
ringing_energy,0.378246229892224,0.05124251209167266,3.945035680184185e-05,5,0.4837552705357611,0.2727371892486869
tail_slope,0.09547768973730503,0.011689316159099183,2.64301718700846e-05,5,0.11954615327240906,0.071409226202201
max_dev_tail_50,0.09351581933520735,0.009352408592807723,1.1845823969357972e-05,5,0.1127725578918222,0.0742590807785925
noise_floor,0.0725634169503511,0.008151822063738072,1.8795602879527925e-05,5,0.08934813124974227,0.055778702650959924
overshoot_intensity,0.05810323207220064,0.009905348044574807,9.754715027632697e-05,5,0.0784984806024393,0.03770798354196197
x_end,0.04365729154787958,0.012920247251945877,0.0008221465631973749,5,0.07026025921643067,0.01705432387932849
