,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,0.7618861831474304,0.0687676287203995,7.878693973858215e-06,5,0.9034796811523691,0.6202926851424917
max_rolling_std_half,0.22445949249267586,0.03200813775461743,4.8304390143122206e-05,5,0.2903646905289111,0.15855429445644062
x_end,0.20797744533538828,0.022608182665095095,1.6495561234892074e-05,5,0.25452800592111086,0.1614268847496657
max_slope,0.11914271778106697,0.018074040224863506,6.164848575278958e-05,5,0.15635741641384435,0.0819280191482896
std_tail_50_smooth,0.06635913190841673,0.007956165255324605,2.4328493827479974e-05,5,0.0827409861350201,0.04997727768181337
noise_floor,0.05922402051925659,0.015466390590086872,0.0005108000969648692,5,0.09106953251248076,0.02737850852603243
stability_ratio_smooth,0.05145058233261111,0.008158832609019923,7.340226432148328e-05,5,0.06824973144163364,0.034651433223588574
max_dev_tail_50,0.03190707086563108,0.0036914945254256496,2.112180265334891e-05,5,0.03950790911535897,0.02430623261590319
std_all,0.031297883224487295,0.004662468070670928,5.73908015673336e-05,5,0.0408979694241558,0.021697797024818794
