wait_time_ms,x_end,std_all,ringing_energy,max_rolling_std_half,std_tail_50_smooth,max_dev_tail_50,stability_ratio_smooth,max_slope,wave_id,pred_wait_time_ms,error_ms,abs_error_ms
2.64,3.051400280832269,0.3970928881633145,6.887977227652218,0.0027427365838477,0.0009271805327526,0.0063234565270673,0.0023349210173626,0.1021912574167926,1.0,2.55536,-0.08463992118835462,0.08463992118835462
5.45,1.0540639083117511,0.1476915660923141,7.290153574196626,0.0028339847199156,0.0009592538583886,0.00978467156224,0.0064949805684507,0.063971232339019,2.0,5.2991333,-0.15086669921875018,0.15086669921875018
4.71,1.8012091491623776,0.2977183709769537,7.284989511985778,0.0026901259461614,0.0011737158719043,0.0064822171374845,0.0039423696431983,0.0555919963617363,3.0,4.6329823,-0.07701774597167965,0.07701774597167965
3.23,1.329861871263366,0.1620458755532973,5.982202942295624,0.0029112782087536,0.0007600929930416,0.0048398786560792,0.0046906037303063,0.0491814736448094,4.0,3.2494721,0.01947214126586916,0.01947214126586916
5.17,1.2251790171585666,0.1646228085513946,7.667161144916101,0.0025643121235251,0.0011287916791553,0.0075641516590223,0.0068568364385914,0.0612641370189777,5.0,5.1797986,0.0097986030578614,0.0097986030578614
6.91,1.465410598769967,0.2453775051145261,9.117079079308123,0.0204636189887609,0.0007165219505341,0.0060427961341082,0.0029200800101036,0.0667789315948773,6.0,6.9123282,0.0023282432556150923,0.0023282432556150923
2.88,2.9379207276328745,0.4357224223527473,7.510412480632415,0.0026771093527229,0.0009489064879831,0.0056238606078991,0.0021777774957772,0.0838615864709184,7.0,2.819305,-0.0606950569152831,0.0606950569152831
2.83,2.77755170413031,0.4024120327246743,7.22469111011028,0.0025453910024586,0.0006000811162943,0.0055628537843501,0.0014912106647013,0.0934474829255565,8.0,2.624148,-0.20585210800170906,0.20585210800170906
4.45,2.5823837221926498,0.3972852317276418,8.035210721716748,0.0027228667341962,0.0009453994496521,0.0071820753936342,0.002379649107925,0.0655521067603568,9.0,4.5652475,0.11524753570556623,0.11524753570556623
6.8500000000000005,1.3596804468416113,0.2273377932379888,9.241642638984882,0.0195942650012897,0.0008723389229983,0.008830710509841,0.0038371926934644,0.0595423518521368,10.0,6.9245057,0.07450571060180611,0.07450571060180611
2.76,2.041893196581448,0.2830379846078061,6.913208077252198,0.0026655472595563,0.0010376148888157,0.0063888649820293,0.0036659916392055,0.0713969225421397,11.0,3.0118003,0.25180028915405295,0.25180028915405295
2.75,1.9976194213468208,0.2601244612268276,6.547644418528847,0.0028213872576797,0.0007828263953708,0.006607270369122,0.0030094301345953,0.0814124577439243,12.0,2.777584,0.027584075927734375,0.027584075927734375
3.98,1.2440739184881258,0.1661369923346151,6.086322945951452,0.0028552642947752,0.0008799273193677,0.0077854962258661,0.0052963960747473,0.0530009828584772,13.0,3.9628525,-0.017147521972656232,0.017147521972656232
4.5600000000000005,2.551077451457886,0.3789480075008654,8.006289644336626,0.0027915329969125,0.0008182741544022,0.0080674956491098,0.0021593309267921,0.0811238203902263,14.0,4.6165175,0.05651754379272411,0.05651754379272411
4.63,2.302677574630556,0.3471180350099629,8.009161767210013,0.0026759906520469,0.0011595560389626,0.0054441779900074,0.0033405237373759,0.0666297243631787,15.0,4.6948204,0.06482040405273448,0.06482040405273448
6.48,1.3217321036934773,0.2104546873069969,8.589614847576282,0.0166229813767981,0.0015192048793694,0.0076246737038503,0.0072186791921372,0.0606132150923305,16.0,6.6653233,0.18532325744628864,0.18532325744628864
4.3100000000000005,2.55305876202092,0.4106460749829421,8.227801025454852,0.0029399377474796,0.0011453252569706,0.0063611864137991,0.0027890812160549,0.0678752696916092,17.0,4.5786295,0.2686294937133784,0.2686294937133784
