,importance,stddev,p_value,n,p99_high,p99_low
ringing_energy,1.074268475589752,0.09236487152391339,6.493646792109294e-06,5,1.2644490226756815,0.8840879285038226
x_end,0.30811695114135756,0.025275699407137073,5.385734145163515e-06,5,0.36015996556794405,0.2560739367147711
max_slope,0.09216843727111812,0.011856989072624434,3.215341980350324e-05,5,0.1165821416526566,0.06775473288957964
wave_id,0.07336435728073118,0.022748360480557978,0.000980214995722763,5,0.12020354592595514,0.026525168635507225
stability_ratio,0.044747774238586425,0.00306238647413843,2.6159429974343066e-06,5,0.05105327031551662,0.03844227816165623
std_all,0.04154808458328246,0.004721702847508886,1.967569292020593e-05,5,0.051270136007171944,0.03182603315939298
std_tail_50,0.036360238952636716,0.0038744178094292725,1.5238905971279717e-05,5,0.044337718772396534,0.028382759132876897
settling_trend,0.028777493610382076,0.006146768798087621,0.00023528244441123485,5,0.041433775523017774,0.016121211697746378
max_dev_tail_50,0.02170753313064571,0.005134541746516117,0.00034915975501677505,5,0.03227962555363105,0.011135440707660371
