wave_id,wait_time_ms,x_end,std_all,std_tail_50,max_dev_tail_50,settling_trend,ringing_energy,max_slope,stability_ratio,pred_wait_time_ms,error_ms,abs_error_ms
1.0,3.26,3.051400280832269,0.3970928881633145,0.0025647088387739,0.0063234565270673,0.9478709936627344,6.887977227652218,0.1021912574167926,0.0064587125802676,3.403253,0.14325307846069357,0.14325307846069357
2.0,5.48,1.0540639083117511,0.1476915660923141,0.002509832177526,0.00978467156224,0.993401878713748,7.290153574196626,0.063971232339019,0.0169937405834232,5.6646714,0.18467142105102496,0.18467142105102496
3.0,5.2700000000000005,1.8012091491623776,0.2977183709769537,0.0024803790566157,0.0064822171374845,0.8912330152572538,7.284989511985778,0.0555919963617363,0.0083312932290512,5.215763,-0.05423690795898484,0.05423690795898484
4.0,3.49,1.329861871263366,0.1620458755532973,0.0017655298330252,0.0048398786560792,1.304956790876622,5.982202942295624,0.0491814736448094,0.0108952468929044,3.2614024,-0.228597631454468,0.228597631454468
5.0,5.17,1.2251790171585666,0.1646228085513946,0.0025080013893861,0.0075641516590223,0.9459066076754548,7.667161144916101,0.0612641370189777,0.0152348352954283,5.43475,0.26475008010864265,0.26475008010864265
6.0,6.98,1.465410598769967,0.2453775051145261,0.0022353902153043,0.0060427961341082,1.108569408547784,9.117079079308123,0.0667789315948773,0.0091100046239,6.7547913,-0.22520874023437543,0.22520874023437543
7.0,4.48,2.9379207276328745,0.4357224223527473,0.0021221406766893,0.0056238606078991,1.0987972949605684,7.510412480632415,0.0838615864709184,0.0048703958367809,4.5138726,0.03387262344360309,0.03387262344360309
8.0,3.6,2.77755170413031,0.4024120327246743,0.0020662024081399,0.0055628537843501,1.062239374771895,7.22469111011028,0.0934474829255565,0.0051345442854068,3.7902749,0.19027485847473136,0.19027485847473136
9.0,4.88,2.5823837221926498,0.3972852317276418,0.0026119958524836,0.0071820753936342,0.9913622240662338,8.035210721716748,0.0655521067603568,0.0065746109779879,5.1283216,0.24832164764404308,0.24832164764404308
10.0,6.99,1.3596804468416113,0.2273377932379888,0.0024787498056025,0.008830710509841,1.0384439140526642,9.241642638984882,0.0595423518521368,0.0109033775660184,6.974188,-0.015812149047851776,0.015812149047851776
11.0,3.73,2.041893196581448,0.2830379846078061,0.002519840513835,0.0063888649820293,1.0343061531941853,6.913208077252198,0.0713969225421397,0.0089028351032947,4.022406,0.29240610122680666,0.29240610122680666
12.0,3.99,1.9976194213468208,0.2601244612268276,0.0024020843442011,0.006607270369122,0.9550890741661214,6.547644418528847,0.0814124577439243,0.0092343654404425,3.99657,0.006570110321044709,0.006570110321044709
13.0,3.99,1.2440739184881258,0.1661369923346151,0.0023009875259599,0.0077854962258661,1.0958898065733091,6.086322945951452,0.0530009828584772,0.0138499408215818,3.781718,-0.20828198432922385,0.20828198432922385
14.0,4.89,2.551077451457886,0.3789480075008654,0.0022407268572958,0.0080674956491098,1.0628754065974002,8.006289644336626,0.0811238203902263,0.0059130192190752,4.8951297,0.005129680633545242,0.005129680633545242
15.0,5.47,2.302677574630556,0.3471180350099629,0.0022623170246664,0.0054441779900074,1.0339853187222272,8.009161767210013,0.0666297243631787,0.006517428626502,5.3956285,-0.07437154769897436,0.07437154769897436
16.0,6.48,1.3217321036934773,0.2104546873069969,0.0029494958683397,0.0076246737038503,0.8680129108261718,8.589614847576282,0.0606132150923305,0.0140148736626728,6.520173,0.04017307281494098,0.04017307281494098
17.0,5.16,2.55305876202092,0.4106460749829421,0.0024231421032879,0.0063611864137991,1.0172792869653506,8.227801025454852,0.0678752696916092,0.0059008042326662,5.163167,0.003166999816894389,0.003166999816894389
18.0,6.25,2.8740481226923054,0.5199058061401145,0.0023780537997411,0.0077146146483664,1.0371620135086006,9.07077723217532,0.0721119759196881,0.0045740089206201,6.156057,-0.09394311904907227,0.09394311904907227
19.0,4.47,2.065156146868756,0.3108195953406659,0.0022411385410178,0.0051235431611602,1.077131996200415,6.947600977239089,0.0619985394834818,0.0072104158405813,4.413418,-0.056582183837890376,0.056582183837890376
20.0,5.49,1.371013583348874,0.1940177243471804,0.0024860997841132,0.0071919945652791,1.0668018712324074,7.618942066559215,0.0672616062812394,0.0128137765746124,5.5499277,0.05992771148681619,0.05992771148681619
21.0,5.17,1.214439849680877,0.1729663006870229,0.0021601186057986,0.006095348165958,1.0402006717711807,7.548121740634832,0.058608661403037,0.0124886673573405,5.19053,0.020529823303222727,0.020529823303222727
22.0,3.49,0.8782872853635731,0.0919982753978269,0.002864722423911,0.0071402952821338,0.920349573070196,5.73615315832111,0.0593116359370052,0.0311388705971311,3.6956623,0.20566226005554178,0.20566226005554178
23.0,4.47,1.9239406867185624,0.2845486549060375,0.0026237508188955,0.0077918315487419,1.000598517645805,6.85720937951623,0.0517060719874814,0.009220745782619,4.4694257,-0.0005743217468259232,0.0005743217468259232
24.0,4.48,0.8100854721821702,0.0977773660529026,0.0022905760243478,0.0090492325218839,1.0283834050754153,6.444088962016656,0.0546418719385249,0.0234264441085689,4.622231,0.14223100662231403,0.14223100662231403
25.0,5.47,2.1850915694193533,0.3464319902238319,0.0022836662951146,0.0079520485645745,0.9858170759759994,7.77262304768809,0.0659937687403767,0.0065919613458537,5.382495,-0.08750507354736303,0.08750507354736303
26.0,6.48,2.280018360441109,0.4032572134611584,0.0025910467526312,0.0063792578622829,1.018621768406183,8.71089399651985,0.056117542375553,0.0064252954682867,6.3231106,-0.1568894195556645,0.1568894195556645
27.0,5.23,2.7450026092950783,0.4459498424975936,0.0020554803327155,0.0061673218188307,1.1469072431164808,7.974627016931,0.0710803373544385,0.0046092186435011,4.778186,-0.4518141555786137,0.4518141555786137
28.0,6.390000000000001,2.1614710370128645,0.3718747319159848,0.0028453009953498,0.0092092359034725,0.9823026210654352,8.645461663419674,0.0754043403302036,0.007651235062514,6.1574297,-0.23257030487060604,0.23257030487060604
29.0,5.48,1.750302066769711,0.2870769190545226,0.0024631335742254,0.0075711395355981,1.075065510959951,7.326355522199745,0.0518064637256557,0.0085800473746118,5.306786,-0.17321393966674847,0.17321393966674847
30.0,5.03,2.2982197994222697,0.3342863374266172,0.0026685665397626,0.0095050848518059,0.8655120516615858,8.014572137580856,0.0862491311432875,0.0079828764535301,5.0882215,0.05822154998779272,0.05822154998779272
31.0,4.47,1.84433678570046,0.2549056621410284,0.0027925482116877,0.0059369236100377,0.9030573165087376,6.744910501281425,0.0672617397948228,0.0109552223252989,4.361094,-0.10890600204467749,0.10890600204467749
32.0,5.45,1.785229512060235,0.2675091355907868,0.0026732426000998,0.011157578718226,0.9069436154480114,8.045106467466393,0.0640674102647753,0.0099930889620009,5.4330206,-0.016979408264160334,0.016979408264160334
33.0,8.91,0.9641633689037632,0.1306928476098414,0.0026406750028826,0.0102362619982268,0.9740692933868746,7.471163389585672,0.0658130659842541,0.0202051989146387,7.8809414,-1.0290586090087892,1.0290586090087892
34.0,5.4,2.5842004887538006,0.419336677377246,0.0023135282923842,0.0077833572909118,1.0551784567167146,8.05523569415815,0.069759008649224,0.0055171140796392,5.002274,-0.39772596359252965,0.39772596359252965
35.0,6.94,1.529319165851566,0.2775197040402892,0.0027576042390149,0.0096665159566668,0.9055987830473828,8.519378032704427,0.0480674299336273,0.0099366069829692,6.553469,-0.3865308189392094,0.3865308189392094
36.0,6.49,0.9877962086969302,0.1566846111652406,0.0022823146817762,0.0063780147095645,1.0191027972627251,8.050830138828308,0.0413255087186147,0.0145662975466236,6.4833517,-0.006648292541504119,0.006648292541504119
37.0,3.47,1.532609483632263,0.1695870508037209,0.0021855348399322,0.0059634360596994,1.1791245764666458,6.3941235492808906,0.0761755408898758,0.0128873921486752,3.6179428,0.14794281005859355,0.14794281005859355
38.0,6.97,1.563686548129872,0.2620002051133046,0.0021610623796261,0.0053245293244608,0.9949276114390262,9.423229558783737,0.0596638522772988,0.0082483232043396,6.890014,-0.07998582839965795,0.07998582839965795
39.0,4.49,1.612191259626852,0.2056278973874879,0.0022122712170676,0.0070879632357736,1.1515951120849457,7.206506707918382,0.0768256806221734,0.0107586141492281,4.5754805,0.08548046112060526,0.08548046112060526
40.0,6.38,2.373803205431405,0.4234705278347626,0.0023612784319803,0.0073359560869561,1.0552803418050416,8.85663141171672,0.0675183052592507,0.0055760159708817,6.273035,-0.10696495056152333,0.10696495056152333
41.0,4.49,1.1308413657163334,0.1422705735364982,0.0022226134912823,0.0070198612703262,1.087634371595351,7.08797657829348,0.0556858173765149,0.0156224398370733,4.7443576,0.2543575859069822,0.2543575859069822
