,importance,stddev,p_value,n,p99_high,p99_low
noise_floor,1.8362247799413514,0.212055480448954,2.096970695369478e-05,5,2.2728499451039585,1.399599614778744
crossing_rate,0.9493071078365574,0.11143051208446852,2.2368364020684696e-05,5,1.1787440723518263,0.7198701433212884
ringing_energy,0.8156759369243215,0.04206095893550747,8.454523883358549e-07,5,0.9022800327167638,0.7290718411318792
ptp_intensity,0.7500485777144645,0.17429061115567232,0.0003260481152217911,5,1.1089153550362414,0.39118180039268763
x_end,0.6777779015976142,0.10804830748938499,7.494267132564795e-05,5,0.9002508601045709,0.4553049430906575
max_slope,0.5188901213584748,0.03706640138453679,3.103503668866786e-06,5,0.595210354121347,0.44256988859560253
drift_score,0.4728838639215473,0.06096847376291994,3.2435443043023137e-05,5,0.5984187940732586,0.34734893376983605
